date;groundwaterlevel_m_a_s_l
2020-01-01 00:00;27.46708333
2020-01-02 00:00;27.46266667
2020-01-03 00:00;27.47058333
2020-01-04 00:00;27.38741667
2020-01-05 00:00;27.26941667
2020-01-06 00:00;27.29083333
2020-01-07 00:00;27.2825
2020-01-08 00:00;27.31541667
2020-01-09 00:00;27.20575
2020-01-10 00:00;27.154
2020-01-11 00:00;27.13975
2020-01-12 00:00;27.15441667
2020-01-13 00:00;27.05525
2020-01-14 00:00;27.06891667
2020-01-15 00:00;27.15958333
2020-01-16 00:00;27.13533333
2020-01-17 00:00;27.12141667
2020-01-18 00:00;27.156
2020-01-19 00:00;27.01133333
2020-01-20 00:00;27.00558333
2020-01-21 00:00;27.02408333
2020-01-22 00:00;26.9545
2020-01-23 00:00;26.94158333
2020-01-24 00:00;26.94966667
2020-01-25 00:00;26.85291667
2020-01-26 00:00;26.82025
2020-01-27 00:00;26.7875
2020-01-28 00:00;26.7905
2020-01-29 00:00;26.75916667
2020-01-30 00:00;26.72183333
2020-01-31 00:00;26.71683333
2020-02-01 00:00;26.76708333
2020-02-02 00:00;26.80333333
2020-02-03 00:00;26.76316667
2020-02-04 00:00;26.73758333
2020-02-05 00:00;26.69975
2020-02-06 00:00;26.64933333
2020-02-07 00:00;26.61675
2020-02-08 00:00;26.63925
2020-02-09 00:00;26.724
2020-02-10 00:00;26.81825
2020-02-11 00:00;26.66933333
2020-02-12 00:00;26.5985
2020-02-13 00:00;26.56066667
2020-02-14 00:00;26.531
2020-02-15 00:00;26.593
2020-02-16 00:00;26.73008333
2020-02-17 00:00;26.772
2020-02-18 00:00;26.73983333
2020-02-19 00:00;26.70033333
2020-02-20 00:00;26.66883333
2020-02-21 00:00;26.74341667
2020-02-22 00:00;26.81966667
2020-02-23 00:00;26.76641667
2020-02-24 00:00;26.6575
2020-02-25 00:00;26.70025
2020-02-26 00:00;26.67783333
2020-02-27 00:00;26.60891667
2020-02-28 00:00;26.55916667
2020-02-29 00:00;26.563
2020-03-01 00:00;26.61175
2020-03-02 00:00;26.6485
2020-03-03 00:00;26.68958333
2020-03-04 00:00;26.86575
2020-03-05 00:00;27.13958333
2020-03-06 00:00;27.17808333
